Token	InstrumentName	ShortName	Series	ExpiryDate	StrikePrice	OptionType	CALevel	PermittedToTrade	IssueCapital	WarningQty	FreezeQty	CreditRating	NormalMarketStatus	OddLotMarketStatus	SpotMarketStatus	AuctionMarketStatus	NormalMarketEligibility	OddLotMarketEligibility	SpotMarketEligibility	AuctionMarketEligibility	IssueRate	IssueStartDate	InterestPaymentDate	IssueMaturityDate	MarginPercentage	MinimumLotQty	LotSize	TickSize	CompanyName	ListingDate	ExpulsionDate	ReAdmissionDate	RecordDate	LowPriceRange	HighPriceRange	SecurityExpiryDate	NoDeliveryStartDate	NoDeliveryEndDate	MF	AON	ParticipantInMarketIndex	BookClsStartDate	BookClsEndDate	ExcerciseStartDate	ExcerciseEndDate	OldToken	AssetInstrument	AssetName	AssetToken	IntrinsicValue	ExtrinsicValue	ExcerciseStyle	EGM	AGM	Interest	Bonus	Rights	Dividends	ExAllowed	ExRejectionAllowed	PlAllowed	IsThisAsset	IsCorpAdjusted	LocalUpdateDatetime	DeleteFlag	Remarks	BasePrice	ExchangeCode
50365	FUTSTK	VOLTAS	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				63750	0	375	10	VOLTAS LTD					1199.5	1465.9				3-Mon							0			0	0	0								NFO								133270	VOLTAS
50366	FUTSTK	WIPRO	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				579000	0	3000	1	WIPRO LTD					217.83	266.23				3-Mon							0			0	0	0								NFO								24203	WIPRO
50367	FUTSTK	YESBAN	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				3110000	0	31100	1	YES BANK LIMITED					20.37	24.89				3-Mon							0			0	0	0								NFO								2263	YESBANK
50391	FUTSTK	CADHEA	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				3600	0	900	5	ZYDUS LIFESCIENCES LIMITED					899.9	1099.8				3-Mon							0			0	0	0								NFO								99985	ZYDUSLIFE
49954	FUTSTK	ONGC	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				996750	0	2250	1	OIL AND NATURAL GAS CORPORATIO					231.59	283.05				2-Mon							0			0	0	0								NFO								25732	ONGC
49955	FUTSTK	PAGIND	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				5595	0	15	500	PAGE INDUSTRIES LTD					36455	44555				2-Mon							0			0	0	0								NFO								4050500	PAGEIND
49956	FUTSTK	RUCSOY	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				110700	0	900	5	PATANJALI FOODS LIMITED					555.45	678.85				2-Mon							0			0	0	0								NFO								61715	PATANJALI
49959	FUTSTK	ONE97	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				391500	0	725	10	ONE 97 COMMUNICATIONS PAYTM					1188	1451.8				2-Mon							0			0	0	0								NFO								131990	PAYTM
49960	FUTSTK	PERSYS	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				36800	0	100	10	PERSISTENT SYSTEMS LIMITED					5416.7	6620.3				2-Mon							0			0	0	0								NFO								601850	PERSISTENT
49961	FUTSTK	PETLNG	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				372600	0	1800	5	PETRONET LNG LIMITED					257.15	314.25				2-Mon							0			0	0	0								NFO								28570	PETRONET
49962	FUTSTK	POWFIN	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				4026100	0	1300	5	POWER FINANCE CORPORATION LTD					364.75	445.75				2-Mon							0			0	0	0								NFO								40525	PFC
49963	FUTSTK	PGELEC	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				145600	0	700	5	PG ELECTROPLAST LIMITED					522.15	638.15				2-Mon							0			0	0	0								NFO								58015	PGEL
49964	FUTSTK	PHOMIL	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				23800	0	350	10	PHOENIX MILLS LTD					1553.4	1898.6				2-Mon							0			0	0	0								NFO								172600	PHOENIXLTD
49965	FUTSTK	PIDIND	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				50500	0	500	10	PIDILITE INDUSTRIES LTD					1351.4	1651.6				2-Mon							0			0	0	0								NFO								150150	PIDILITIND
49966	FUTSTK	PIIND	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				11900	0	175	10	P I INDUSTRIES LTD					3271.1	3997.9				2-Mon							0			0	0	0								NFO								363450	PIIND
49967	FUTSTK	PUNBAN	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				6224000	0	8000	1	PUNJAB NATIONAL BANK					109.49	133.83				2-Mon							0			0	0	0								NFO								12166	PNB
49970	FUTSTK	PNBHOU	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				157950	0	650	5	PNB HOUSING FINANCE LIMITED					850.55	1039.55				2-Mon							0			0	0	0								NFO								94505	PNBHOUSING
49971	FUTSTK	PBFINT	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				50400	0	350	10	PB FINTECH LTD POLICYBZR					1675.1	2047.3				2-Mon							0			0	0	0								NFO								186120	POLICYBZR
49972	FUTSTK	POLI	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				33375	0	125	50	POLYCAB INDIA LIMITED					7136.5	8721.5				2-Mon							0			0	0	0								NFO								792900	POLYCAB
49973	FUTSTK	POWGRI	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				893000	0	1900	5	POWER GRID CORPORATION OF INDI					262.2	320.4				2-Mon							0			0	0	0								NFO								29130	POWERGRID
49975	FUTSTK	ABBPOW	FUTURE	11/25/25	0	XX	0	0	0	0	0		0	0	0	0					0				131750	0	50	100	HITACHI ENERGY INDIA LIMITED					16175	19769				1-Mon							0			0	0	0								NFO								1797200	POWERINDIA
49976	FUTSTK	PERSYS	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				200	0	100	10	PERSISTENT SYSTEMS LIMITED					5430.6	6637.4				3-Mon							0			0	0	0								NFO								603400	PERSISTENT
49977	FUTSTK	PETLNG	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				7600	0	1900	5	PETRONET LNG LIMITED					257.75	314.95				3-Mon							0			0	0	0								NFO								28610	PETRONET
49978	FUTSTK	POWFIN	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				91000	0	1300	5	POWER FINANCE CORPORATION LTD					367.2	448.75				3-Mon							0			0	0	0								NFO								40795	PFC
49979	FUTSTK	PGELEC	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				950	0	950	5	PG ELECTROPLAST LIMITED					524.2	640.6				3-Mon							0			0	0	0								NFO								58190	PGEL
49980	FUTSTK	PHOMIL	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				0	0	350	10	PHOENIX MILLS LTD					1556.1	1901.9				3-Mon							0			0	0	0								NFO								172750	PHOENIXLTD
49981	FUTSTK	PIDIND	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				2500	0	500	10	PIDILITE INDUSTRIES LTD					1360.5	1662.7				3-Mon							0			0	0	0								NFO								151160	PIDILITIND
49982	FUTSTK	PIIND	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				175	0	175	10	P I INDUSTRIES LTD					3284.8	4014.6				3-Mon							0			0	0	0								NFO								364660	PIIND
49983	FUTSTK	PUNBAN	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				296000	0	8000	1	PUNJAB NATIONAL BANK					109.7	134.08				3-Mon							0			0	0	0								NFO								12180	PNB
49984	FUTSTK	PNBHOU	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				12350	0	650	5	PNB HOUSING FINANCE LIMITED					853.7	1043.4				3-Mon							0			0	0	0								NFO								94775	PNBHOUSING
49985	FUTSTK	PBFINT	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				6300	0	350	10	PB FINTECH LTD POLICYBZR					1681.9	2055.5				3-Mon							0			0	0	0								NFO								186870	POLICYBZR
49986	FUTSTK	POLI	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				1875	0	125	50	POLYCAB INDIA LIMITED					7170.5	8763.5				3-Mon							0			0	0	0								NFO								796700	POLYCAB
49987	FUTSTK	POWGRI	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				58900	0	1900	5	POWER GRID CORPORATION OF INDI					263.9	322.5				3-Mon							0			0	0	0								NFO								29320	POWERGRID
49988	FUTSTK	ABBPOW	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				150	0	50	100	HITACHI ENERGY INDIA LIMITED					16382	20022				3-Mon							0			0	0	0								NFO								1818600	POWERINDIA
49989	FUTSTK	PIRPHA	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				44625	0	2625	1	PIRAMAL PHARMA LIMITED					184.55	225.56				3-Mon							0			0	0	0								NFO								20505	PPLPHARMA
49990	FUTSTK	PREEST	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				0	0	450	10	PRESTIGE ESTATES PROJECTS LIMI					1603.5	1959.7				3-Mon							0			0	0	0								NFO								178010	PRESTIGE
49991	FUTSTK	RBLBAN	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				22225	0	3175	5	RBL BANK LIMITED					296.9	362.8				3-Mon							0			0	0	0								NFO								32955	RBLBANK
49992	FUTSTK	RURELE	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				350000	0	1400	5	REC LIMITED					346.95	424.05				3-Mon							0			0	0	0								NFO								38550	RECLTD
49993	FUTSTK	RELIND	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				103000	0	500	10	RELIANCE INDUSTRIES					1364.4	1667.4				3-Mon							0			0	0	0								NFO								151590	RELIANCE
49994	FUTSTK	RAIVIK	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				311100	0	1525	5	RAIL VIKAS NIGAM LIMITED					287.1	350.85				3-Mon							0			0	0	0								NFO								31895	RVNL
49995	FUTSTK	SAIL	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				596900	0	4700	1	STEEL AUTHORITY OF INDIA LTD					125.67	153.59				3-Mon							0			0	0	0								NFO								13963	SAIL
49996	FUTSTK	INDHO	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				0	0	4300	1	SAMMAAN CAPITAL LIMITED					168.43	205.85				3-Mon							0			0	0	0								NFO								18700	SAMMAANCAP
49997	FUTSTK	SBICAR	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				465600	0	800	5	SBI CARDS AND PAYMENT SERV LTD					772.25	943.85				3-Mon							0			0	0	0								NFO								85805	SBICARD
50000	FUTSTK	ABBPOW	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				2000	0	50	100	HITACHI ENERGY INDIA LIMITED					16274	19890				2-Mon							0			0	0	0								NFO								1808200	POWERINDIA
50001	FUTSTK	PIRPHA	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				402500	0	2500	1	PIRAMAL PHARMA LIMITED					183.32	224.06				2-Mon							0			0	0	0								NFO								20369	PPLPHARMA
50004	FUTSTK	SBILIF	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				8625	0	375	10	SBI LIFE INSURANCE COMPANY LTD					1795.2	2194				3-Mon							0			0	0	0								NFO								199460	SBILIFE
50005	FUTSTK	STABAN	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				55500	0	750	5	STATE BANK OF INDIA					856.25	1046.45				3-Mon							0			0	0	0								NFO								95135	SBIN
50006	FUTSTK	PREEST	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				31050	0	450	10	PRESTIGE ESTATES PROJECTS LIMI					1597.3	1952.1				2-Mon							0			0	0	0								NFO								177470	PRESTIGE
50008	FUTSTK	RBLBAN	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				501650	0	3175	5	RBL BANK LIMITED					295.35	360.95				2-Mon							0			0	0	0								NFO								32815	RBLBANK
50011	FUTSTK	SHRCEM	FUTURE	01/27/26	0	XX	0	0	0	0	0		0	0	0	0					0				25	0	25	500	SHREE CEMENTS LTD					26260	32090				3-Mon							0			0	0	0								NFO								2914500	SHREECEM
50013	FUTSTK	RURELE	FUTURE	12/30/25	0	XX	0	0	0	0	0		0	0	0	0					0				2742525	0	1275	5	REC LIMITED					344.7	421.3				2-Mon							0			0	0	0								NFO								38300	RECLTD
