Symbol,exchange_timestamp,last_price,volume_traded,last_traded_quantity,open_interest,change_in_oi,bid_price_1,bid_qty_1,bid_price_2,bid_qty_2,bid_price_3,bid_qty_3,bid_price_4,bid_qty_4,bid_price_5,bid_qty_5,ask_price_1,ask_qty_1,ask_price_2,ask_qty_2,ask_price_3,ask_qty_3,ask_price_4,ask_qty_4,ask_price_5,ask_qty_5,total_buy_qty,total_sell_qty
TRENT,2025-11-17 13:03:22.314197,4410.8,338500,100,8173000,0,4409.5,300,4410.8,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46000,124800
RELIND,2025-11-17 13:03:22.315099,1517.9,4226000,500,100701000,0,1517.5,1500,1518.0,2500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,336500,877000
MCX,2025-11-17 13:03:22.334148,9795.0,407500,125,2626000,0,9791.5,125,9798.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69875,78500
TRENT,2025-11-17 13:03:23.598832,4410.8,338500,100,8173000,0,4409.5,300,4410.8,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46000,124300
RELIND,2025-11-17 13:03:23.601652,1517.9,4226000,500,100701000,0,1517.5,1500,1518.0,2500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,335500,877000
MCX,2025-11-17 13:03:23.605668,9795.0,407500,125,2626000,0,9791.0,125,9798.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69625,78500
RELIND,2025-11-17 13:03:24.776477,1517.9,4226000,500,100701000,0,1517.5,1500,1518.0,2500,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,335500,878000
TRENT,2025-11-17 13:03:24.776945,4410.8,338500,100,8173000,0,4409.5,300,4410.6,300,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46100,124700
MCX,2025-11-17 13:03:24.800675,9795.0,407500,125,2626000,0,9791.0,125,9798.5,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69750,78625
TCS,2025-11-17 13:03:25.593156,3112.9,876400,175,24393250,0,3112.4,350,3112.9,350,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,126875,225225
MCX,2025-11-17 13:03:25.796922,9795.0,407500,125,2626000,0,9791.0,125,9797.5,250,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69750,78875
TRENT,2025-11-17 13:03:26.001254,4410.8,338500,100,8173000,0,4409.5,300,4410.4,100,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46100,124200
RELIND,2025-11-17 13:03:26.206054,1517.9,4226000,500,100701000,0,1517.5,1000,1518.0,3000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,334500,878500
TCS,2025-11-17 13:03:26.764902,3112.9,876750,175,24393250,0,3112.6,175,3112.9,350,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,127225,224525
TCS,2025-11-17 13:03:26.766179,3112.7,876750,175,24393250,0,3112.6,175,3112.9,350,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,127225,224525
MCX,2025-11-17 13:03:26.969706,9795.0,407500,125,2626000,0,9791.0,125,9797.0,125,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,69500,78625
TRENT,2025-11-17 13:03:27.231136,4410.8,338500,100,8173000,0,4409.5,300,4410.6,200,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,46100,124300
RELIND,2025-11-17 13:03:27.332656,1517.9,4226000,500,100701000,0,1517.5,500,1518.0,3000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,334000,879000
RELIND,2025-11-17 13:03:27.741682,1518.0,4226000,500,100701000,0,1517.5,500,1518.0,3000,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,334000,879000
TCS,2025-11-17 13:03:27.742381,3112.7,876925,175,24393250,0,3112.6,175,3112.9,350,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,127050,224525
