INSTRUMENT,SYMBOL    ,EXP_DATE  ,STR_PRICE  ,OPT_TYPE,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      ,NOTION_VAL        ,PR_VAL            
OPTIDX    ,BANKNIFTY ,25/11/2025,00061100.00,CE      ,00000026.95,00000030.85,00000021.75,00000024.70,000000000070560,           110460,             3156,             1539,     6751949655.50,        2843655.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00061300.00,CE      ,00000026.95,00000027.35,00000018.15,00000020.80,000000000017885,            67480,             1928,             1069,     4137960461.25,        1436461.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00061500.00,CE      ,00000018.60,00000021.70,00000013.85,00000017.25,000000000533225,          1108030,            31658,            12073,    68164275770.50,       20430770.50
OPTIDX    ,BANKNIFTY ,25/11/2025,00061700.00,CE      ,00000011.50,00000019.05,00000011.50,00000016.15,000000000020895,            35805,             1023,              594,     2209756151.75,         587651.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00061900.00,CE      ,00000015.20,00000020.00,00000012.15,00000013.95,000000000010325,            15715,              449,              221,      972987631.00,         229131.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00061900.00,PE      ,00003451.60,00003451.60,00003451.60,00003451.60,000000000000280,              035,              001,              001,        2287306.00,         120806.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00062100.00,CE      ,00000012.55,00000016.15,00000010.35,00000012.45,000000000020090,            20475,              585,              298,     1271764991.00,         267491.00
OPTIDX    ,BANKNIFTY ,25/11/2025,00062300.00,CE      ,00000011.70,00000014.05,00000009.30,00000011.75,000000000007770,            24255,              693,              315,     1511379948.75,         293448.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00062500.00,CE      ,00000007.05,00000012.10,00000007.05,00000010.55,000000000258755,           529270,            15122,             7941,    33085024533.75,        5649533.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00062700.00,CE      ,00000007.75,00000011.50,00000007.70,00000010.15,000000000005320,             8960,              256,              112,      561882669.25,          90669.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00062900.00,CE      ,00000007.05,00000011.30,00000007.00,00000009.30,000000000003535,             7000,              200,              117,      440368083.75,          68083.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00063100.00,CE      ,00000008.25,00000010.25,00000007.75,00000009.05,000000000007490,             6755,              193,              083,      426301625.75,          61125.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00063300.00,CE      ,00000005.95,00000009.50,00000005.90,00000008.80,000000000003080,             5285,              151,              098,      334583670.75,          43170.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00063500.00,CE      ,00000006.00,00000009.50,00000005.25,00000008.00,000000000085820,           286405,             8183,             4554,    18188934790.25,        2217290.25
OPTIDX    ,BANKNIFTY ,25/11/2025,00064500.00,CE      ,00000004.85,00000007.75,00000004.80,00000006.40,000000000070105,           149870,             4282,             3083,     9667539092.75,         924092.75
OPTIDX    ,BANKNIFTY ,25/11/2025,00065500.00,CE      ,00000004.05,00000004.60,00000003.55,00000004.30,000000000218785,           117075,             3345,             1232,     7668901420.25,         488920.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00046500.00,PE      ,00000013.00,00000013.00,00000012.00,00000013.00,000000000003675,             1190,              034,              008,       55350317.75,          15317.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00047500.00,PE      ,00000016.75,00000017.00,00000014.10,00000015.65,000000000001785,              595,              017,              009,       28271810.00,           9310.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00048500.00,PE      ,00000018.95,00000018.95,00000017.10,00000017.10,000000000005005,              140,              004,              004,        6792555.00,           2555.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00049500.00,PE      ,00000019.00,00000019.95,00000019.00,00000019.95,000000000001470,              210,              006,              006,       10399098.50,           4098.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00050500.00,PE      ,00000023.95,00000024.00,00000022.00,00000023.30,000000000004130,             2905,              083,              040,      146768699.00,          66199.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00051500.00,PE      ,00000026.95,00000028.80,00000024.95,00000026.30,000000000003640,             7000,              200,              135,      360687446.00,         187446.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00051700.00,CE      ,00007243.30,00007243.30,00007243.30,00007243.30,000000000000035,              035,              001,              001,        2063015.50,         253515.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00051900.00,CE      ,00007064.60,00007065.10,00007064.60,00007064.85,000000000000035,              070,              002,              002,        4127539.50,         494539.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00052100.00,CE      ,00006875.30,00006875.30,00006865.30,00006870.30,000000000000035,              070,              002,              002,        4127921.00,         480921.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00052300.00,CE      ,00006679.15,00006679.15,00006671.65,00006675.40,000000000000035,              070,              002,              002,        4128278.00,         467278.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00052500.00,PE      ,00000038.00,00000039.10,00000033.00,00000034.55,000000000036180,             8960,              256,              212,      470727092.50,         327092.50
OPTIDX    ,BANKNIFTY ,30/12/2025,00052700.00,CE      ,00006282.60,00006282.60,00006279.95,00006281.30,000000000000035,              070,              002,              002,        4128689.25,         439689.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00053500.00,CE      ,00005499.65,00005528.80,00005499.65,00005510.55,000000000000315,              105,              003,              003,        6196106.00,         578606.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053500.00,PE      ,00000050.05,00000051.95,00000042.65,00000045.30,000000000031500,             8890,              254,              149,      476037961.00,         422961.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00053700.00,CE      ,00005174.60,00005309.95,00005174.60,00005242.30,000000000000070,              070,              002,              002,        4125959.25,         366959.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00053900.00,CE      ,00004968.25,00005119.70,00004968.25,00005044.00,000000000000140,              070,              002,              002,        4126078.25,         353078.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00054100.00,CE      ,00004732.35,00004732.35,00004732.35,00004732.35,000000000000140,              035,              001,              001,        2059132.25,         165632.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00054300.00,CE      ,00004541.75,00004541.75,00004541.75,00004541.75,000000000000140,              035,              001,              001,        2059461.25,         158961.25
OPTIDX    ,BANKNIFTY ,30/12/2025,00054500.00,CE      ,00004500.05,00004513.70,00004380.00,00004487.80,000000000000665,              245,              007,              005,       14448659.75,        1096159.75
OPTIDX    ,BANKNIFTY ,30/12/2025,00054500.00,PE      ,00000085.70,00000086.05,00000066.95,00000069.55,000000000060445,            18270,              522,              335,      997099327.00,        1384327.00
OPTIDX    ,BANKNIFTY ,30/12/2025,00054700.00,CE      ,00004286.05,00004338.25,00004286.05,00004312.15,000000000000210,              070,              002,              002,        4130850.50,         301850.50
