INSTRUMENT,SYMBOL    ,EXP_DATE  ,OPEN_PRICE ,HI_PRICE   ,LO_PRICE   ,CLOSE_PRICE,OPEN_INT*      ,TRD_VAL           ,TRD_QTY          ,NO_OF_CONT       ,NO_OF_TRADE      
FUTSTK    ,VOLTAS    ,25/11/2025,00001357.30,00001384.80,00001348.10,00001368.70,000000013900875,     4829529262.50,          3521250,             9390,             7817
FUTSTK    ,VOLTAS    ,30/12/2025,00001323.20,00001349.90,00001322.80,00001335.30,000000002974125,     1194702037.50,           892500,             2380,             1842
FUTSTK    ,VOLTAS    ,27/01/2026,00001310.00,00001325.00,00001305.40,00001312.80,000000000196875,       66216487.50,            50250,              134,              117
FUTSTK    ,ZYDUSLIFE ,25/11/2025,00000953.90,00000953.90,00000933.15,00000935.25,000000010154700,     1822130055.00,          1940400,             2156,             1856
FUTSTK    ,ZYDUSLIFE ,30/12/2025,00000949.40,00000950.40,00000939.00,00000940.75,000000001356300,      648005355.00,           685800,              762,              691
FUTSTK    ,ZYDUSLIFE ,27/01/2026,00000954.00,00000955.80,00000945.00,00000947.55,000000000078300,       23073750.00,            24300,              027,              027
FUTSTK    ,BAJAJFINSV,25/11/2025,00002065.00,00002083.00,00002057.00,00002080.80,000000018660250,     2495861700.00,          1204500,             4818,             4433
FUTSTK    ,BAJAJFINSV,30/12/2025,00002084.40,00002097.90,00002071.60,00002094.50,000000000743750,      760736175.00,           364500,             1458,             1248
FUTSTK    ,BAJAJFINSV,27/01/2026,00002094.50,00002108.00,00002083.00,00002105.70,000000000067500,       37244525.00,            17750,              071,              064
FUTSTK    ,BAJFINANCE,25/11/2025,00001021.00,00001035.90,00001020.00,00001029.60,000000087081750,     6785298375.00,          6586500,             8782,             7571
FUTSTK    ,BAJFINANCE,30/12/2025,00001030.00,00001042.20,00001026.90,00001036.50,000000005799750,     1842893475.00,          1777500,             2370,             2081
FUTSTK    ,BAJFINANCE,27/01/2026,00001035.50,00001048.00,00001033.50,00001042.40,000000000414750,      139933800.00,           134250,              179,              163
FUTSTK    ,BANDHANBNK,25/11/2025,00000154.93,00000158.28,00000154.65,00000155.25,000000108090000,     1936150560.00,         12380400,             3439,             2818
FUTSTK    ,BANDHANBNK,30/12/2025,00000156.04,00000159.39,00000156.00,00000156.31,000000020311200,      792342684.00,          5029200,             1397,             1140
FUTSTK    ,BANDHANBNK,27/01/2026,00000158.29,00000160.07,00000157.10,00000157.25,000000002322000,       62864316.00,           396000,              110,              106
FUTSTK    ,BANKBARODA,25/11/2025,00000290.00,00000292.85,00000288.15,00000288.40,000000097537050,     6234917130.00,         21443175,             7331,             6226
FUTSTK    ,BANKBARODA,30/12/2025,00000290.95,00000294.80,00000290.15,00000290.35,000000005648175,     1585054282.50,          5417100,             1852,             1525
FUTSTK    ,BANKBARODA,27/01/2026,00000293.00,00000296.20,00000292.10,00000292.25,000000000377325,       58603691.25,           198900,              068,              066
FUTSTK    ,BANKINDIA ,25/11/2025,00000147.51,00000150.37,00000147.26,00000147.82,000000049160800,     1962854972.00,         13197600,             2538,             2169
FUTSTK    ,BANKINDIA ,30/12/2025,00000148.80,00000151.44,00000148.21,00000148.76,000000005179200,      655265988.00,          4378400,              842,              770
FUTSTK    ,BANKINDIA ,27/01/2026,00000150.00,00000152.32,00000149.21,00000149.68,000000000468000,       46217808.00,           306800,              059,              059
FUTSTK    ,BDL       ,25/11/2025,00001626.50,00001633.00,00001583.90,00001591.50,000000004522700,     2178003262.50,          1357200,             4176,             3745
FUTSTK    ,BDL       ,30/12/2025,00001635.00,00001640.00,00001592.80,00001600.90,000000000460200,      608052607.50,           377000,             1160,             1017
FUTSTK    ,BDL       ,27/01/2026,00001640.00,00001646.50,00001597.10,00001610.80,000000000049000,       16971220.00,            10500,              030,              030
FUTSTK    ,BEL       ,25/11/2025,00000428.45,00000430.30,00000423.75,00000425.80,000000100766025,     5589991852.50,         13110000,             9200,             7629
FUTSTK    ,BEL       ,30/12/2025,00000431.35,00000433.20,00000426.65,00000428.60,000000012283500,     2416915496.25,          5634450,             3954,             3676
FUTSTK    ,BEL       ,27/01/2026,00000434.00,00000435.55,00000429.30,00000431.50,000000001427850,      202995240.00,           470250,              330,              298
FUTSTK    ,BHARATFORG,25/11/2025,00001405.00,00001407.00,00001386.20,00001389.80,000000008532000,     2961164450.00,          2124500,             4249,             3733
FUTSTK    ,BHARATFORG,30/12/2025,00001399.80,00001405.50,00001385.50,00001389.30,000000001192500,      512973700.00,           368000,              736,              697
FUTSTK    ,BHARATFORG,27/01/2026,00001402.40,00001405.10,00001390.00,00001393.40,000000000099500,       16075250.00,            11500,              023,              022
